last_name,state,party,votes,votes_for,votes_against,vote_percentage,gdp
Krishnamoorthi,IL,D,244,50,194,0.20491803278688525,67268
Kuster,NH,D,242,70,172,0.2892561983471074,63067
Kustoff,TN,R,242,228,14,0.9421487603305785,53933
LaHood,IL,R,244,232,12,0.9508196721311475,67268
LaMalfa,CA,R,244,230,14,0.9426229508196722,74205
Labrador,ID,R,166,138,28,0.8313253012048193,43430
Lamb,PA,D,104,34,70,0.3269230769230769,61594
Lamborn,CO,R,246,230,15,0.9349593495934959,63882
Lance,NJ,R,192,166,26,0.8645833333333334,69378
Langevin,RI,D,242,52,190,0.21487603305785125,57852
Larsen,WA,D,244,42,202,0.1721311475409836,74182
Larson,CT,D,236,48,188,0.2033898305084746,76342
Latta,OH,R,246,236,9,0.959349593495935,57492
Lawrence,MI,D,240,34,206,0.14166666666666666,53209
Lawson,FL,D,232,68,164,0.29310344827586204,48318
Lee,CA,D,242,18,224,0.0743801652892562,74205
Lee,NV,D,54,0,54,0.0,55269
Lesko,AZ,R,104,100,4,0.9615384615384616,48055
Levin,CA,D,54,0,54,0.0,74205
Levin,MI,D,244,34,210,0.13934426229508198,53209
Lewis,GA,D,240,20,220,0.08333333333333333,55832
Lewis,MN,R,186,167,18,0.9032258064516128,64675
Lieu,CA,D,232,36,196,0.15517241379310345,74205
Lipinski,IL,D,240,76,164,0.31666666666666665,67268
LoBiondo,NJ,R,192,158,34,0.8229166666666666,69378
Loebsack,IA,D,244,68,176,0.2786885245901639,59977
Lofgren,CA,D,244,36,208,0.14754098360655737,74205
Long,MO,R,230,216,13,0.9391304347826087,51699
Loudermilk,GA,R,236,214,22,0.9067796610169492,55832
Love,UT,R,188,180,8,0.9574468085106383,55550
Lowenthal,CA,D,238,30,208,0.12605042016806722,74205
Lowey,NY,D,242,36,206,0.1487603305785124,85746
Lucas,OK,R,246,240,5,0.975609756097561,50613
Luetkemeyer,MO,R,242,236,5,0.975206611570248,51699
Lujan Grisham,NM,D,176,44,132,0.25,46954
Luján,NM,D,244,34,210,0.13934426229508196,46954
Luria,VA,D,54,0,54,0.0,62563
Lynch,MA,D,240,58,182,0.24166666666666667,82480
MacArthur,NJ,R,192,182,10,0.9479166666666666,69378
Malinowski,NJ,D,54,0,54,0.0,69378
Maloney,NY,D,480,98,382,0.20416666666666666,85746
Marchant,TX,R,242,230,11,0.950413223140496,61167
Marino,PA,R,192,188,4,0.9791666666666666,61594
Marshall,KS,R,242,238,4,0.9834710743801653,56334
Massie,KY,R,240,158,82,0.6583333333333333,46898
Mast,FL,R,232,214,17,0.9224137931034483,48318
Matsui,CA,D,244,34,210,0.13934426229508196,74205
McAdams,UT,D,54,2,52,0.037037037037037035,55550
McBath,GA,D,54,0,54,0.0,55832
McCarthy,CA,R,242,238,4,0.9834710743801653,74205
McCaul,TX,R,246,240,5,0.975609756097561,61167
McClintock,CA,R,244,206,38,0.8442622950819673,74205
McCollum,MN,D,242,32,210,0.1322314049586777,64675
McEachin,VA,D,230,38,192,0.16521739130434782,62563
McGovern,MA,D,242,26,216,0.10743801652892562,82480
McHenry,NC,R,242,236,5,0.9752066115702479,54441
McKinley,WV,R,246,238,8,0.967479674796748,43053
McMorris Rodgers,WA,R,246,236,9,0.959349593495935,74182
McNerney,CA,D,234,36,198,0.15384615384615385,74205
McSally,AZ,R,96,93,3,0.96875,48055
Meadows,NC,R,240,214,26,0.8916666666666667,54441
Meehan,PA,R,142,126,16,0.8873239436619719,61594
Meeks,NY,D,238,44,194,0.18487394957983194,85746
Meng,NY,D,238,38,200,0.15966386554621848,85746
Messer,IN,R,184,174,9,0.9456521739130437,55172
Meuser,PA,R,52,50,2,0.9615384615384616,61594
Miller,WV,R,54,54,0,1.0,43053
Mitchell,MI,R,246,238,8,0.967479674796748,53209
Moolenaar,MI,R,246,240,5,0.975609756097561,53209
Mooney,WV,R,246,212,34,0.8617886178861789,43053
Moore,WI,D,236,20,216,0.0847457627118644,57720
Morelle,NY,D,60,4,56,0.06666666666666667,85746
Moulton,MA,D,240,43,196,0.18333333333333326,82480
Mucarsel-Powell,FL,D,54,0,54,0.0,48318
Mullin,OK,R,242,226,16,0.9338842975206612,50613
Murphy,FL,D,244,96,148,0.39344262295081966,48318
Murphy,PA,R,96,94,2,0.9791666666666666,61594
Nadler,NY,D,238,31,206,0.13445378151260504,85746
Napolitano,CA,D,216,26,190,0.12037037037037036,74205
Neal,MA,D,238,38,200,0.15966386554621848,82480
Neguse,CO,D,54,0,54,0.0,63882
Newhouse,WA,R,234,222,11,0.9487179487179488,74182
Noem,SD,R,180,166,13,0.9222222222222224,58624
Nolan,MN,D,180,50,130,0.2777777777777778,64675
Norcross,NJ,D,238,38,200,0.15966386554621848,69378
Norman,SC,R,178,158,20,0.8876404494382022,45280
Nunes,CA,R,236,230,5,0.9745762711864406,74205
Ocasio-Cortez,NY,D,54,6,48,0.1111111111111111,85746
Olson,TX,R,236,228,7,0.9661016949152542,61167
Omar,MN,D,54,0,54,0.0,64675
O’Halleran,AZ,D,246,104,142,0.42276422764227645,48055
O’Rourke,TX,D,186,56,130,0.3010752688172043,61167
Palazzo,MS,R,236,226,10,0.9576271186440678,37948
Pallone,NJ,D,244,22,222,0.09016393442622951,69378
Palmer,AL,R,242,226,16,0.9338842975206612,45219
Panetta,CA,D,246,54,192,0.21951219512195122,74205
Pappas,NH,D,54,0,54,0.0,63067
Pascrell,NJ,D,240,40,200,0.16666666666666666,69378
Paulsen,MN,R,192,186,6,0.96875,64675
Payne,NJ,D,214,20,194,0.09345794392523364,69378
Pearce,NM,R,186,166,20,0.8924731182795699,46954
Pelosi,CA,D,206,38,168,0.18446601941747573,74205
Pence,IN,R,52,52,0,1.0,55172
Perlmutter,CO,D,244,54,190,0.22131147540983606,63882
Perry,PA,R,242,212,30,0.8760330578512396,61594
Peters,CA,D,242,66,176,0.2727272727272727,74205
Peterson,MN,D,236,128,108,0.5423728813559322,64675
Phillips,MN,D,54,0,54,0.0,64675
Pingree,ME,D,240,34,206,0.14166666666666666,47969
Pittenger,NC,R,182,178,4,0.978021978021978,54441
Pocan,WI,D,226,22,204,0.09734513274336283,57720
Poe,TX,R,182,168,13,0.9230769230769232,61167
Poliquin,ME,R,190,184,5,0.9684210526315791,47969
Polis,CO,D,176,29,146,0.17045454545454544,63882
Porter,CA,D,54,0,54,0.0,74205
Posey,FL,R,240,214,26,0.8916666666666667,48318
Pressley,MA,D,54,0,54,0.0,82480
Price,NC,D,244,36,208,0.14754098360655737,54441
Quigley,IL,D,238,44,194,0.18487394957983194,67268
Raskin,MD,D,244,26,218,0.10655737704918032,68573
Ratcliffe,TX,R,242,222,20,0.9173553719008265,61167
Reed,NY,R,236,220,16,0.9322033898305084,85746
Reichert,WA,R,186,171,14,0.9247311827956988,74182
Renacci,OH,R,178,168,9,0.9438202247191013,57492
Reschenthaler,PA,R,54,50,3,0.925925925925926,61594
Rice,NY,D,238,56,182,0.23529411764705882,85746
Rice,SC,R,242,228,14,0.9421487603305785,45280
Richmond,LA,D,224,26,198,0.11607142857142858,53589
Riggleman,VA,R,54,50,3,0.925925925925926,62563
Roby,AL,R,242,230,11,0.9504132231404959,45219
Roe,TN,R,246,238,8,0.967479674796748,53933
Rogers,AL,R,242,234,8,0.9669421487603306,45219
Rogers,KY,R,232,226,5,0.9741379310344828,46898
Rohrabacher,CA,R,190,160,30,0.8421052631578947,74205
Rokita,IN,R,186,167,18,0.9032258064516128,55172
Rooney,FL,R,394,376,18,0.9543147208121827,48318
Ros-Lehtinen,FL,R,178,125,52,0.7078651685393258,48318
Rose,NY,D,52,0,52,0.0,85746
Rose,TN,R,54,54,0,1.0,53933
Rosen,NV,D,93,40,52,0.4301075268817205,55269
Roskam,IL,R,188,178,9,0.9468085106382981,67268
Ross,FL,R,184,180,4,0.9782608695652174,48318
Rothfus,PA,R,192,170,22,0.8854166666666666,61594
Rouda,CA,D,52,0,52,0.0,74205
Rouzer,NC,R,242,220,21,0.9090909090909091,54441
Roy,TX,R,52,46,6,0.8846153846153846,61167
Roybal-Allard,CA,D,242,30,212,0.12396694214876033,74205
Royce,CA,R,190,186,3,0.9789473684210528,74205
Ruiz,CA,D,244,70,174,0.28688524590163933,74205
Ruppersberger,MD,D,244,58,186,0.23770491803278687,68573
Rush,IL,D,192,22,170,0.11458333333333333,67268
Russell,OK,R,190,178,11,0.936842105263158,50613
Rutherford,FL,R,230,228,2,0.991304347826087,48318
Ryan,OH,D,228,44,184,0.19298245614035087,57492
Ryan,WI,R,44,42,2,0.9545454545454546,57720
Sanford,SC,R,192,136,56,0.7083333333333334,45280
Sarbanes,MD,D,244,36,208,0.14754098360655737,68573
Scalise,LA,R,204,202,2,0.9901960784313726,53589
Scanlon,PA,D,60,4,56,0.06666666666666667,61594
Schakowsky,IL,D,246,22,224,0.08943089430894309,67268
Schiff,CA,D,246,44,202,0.17886178861788618,74205
Schneider,IL,D,242,74,168,0.30578512396694213,67268
Schrader,OR,D,244,62,182,0.2540983606557377,56956
Schrier,WA,D,54,0,54,0.0,74182
Schweikert,AZ,R,246,220,26,0.8943089430894309,48055
Scott,GA,D,230,50,180,0.21739130434782608,55832
Scott,GA,R,246,238,8,0.967479674796748,55832
Scott,VA,D,244,38,206,0.1557377049180328,62563
Sensenbrenner,WI,R,228,198,29,0.868421052631579,57720
Serrano,NY,D,246,26,220,0.10569105691056911,85746
Sessions,TX,R,188,184,3,0.9787234042553193,61167
Sewell,AL,D,240,54,186,0.225,45219
Shalala,FL,D,54,0,54,0.0,48318
Shea-Porter,NH,D,180,41,138,0.23333333333333328,63067
Sherman,CA,D,242,38,204,0.15702479338842976,74205
Sherrill,NJ,D,54,0,54,0.0,69378
Shimkus,IL,R,242,238,4,0.9834710743801653,67268
Shuster,PA,R,188,186,2,0.9893617021276596,61594
Simpson,ID,R,236,228,8,0.9661016949152542,43430
Sinema,AZ,D,91,57,34,0.6263736263736264,48055
Sires,NJ,D,238,44,194,0.18487394957983194,69378
Slaughter,NY,D,120,20,100,0.16666666666666666,85746
Slotkin,MI,D,54,0,54,0.0,53209
Smith,MO,R,240,224,16,0.9333333333333333,51699
Smith,NE,R,244,230,13,0.9426229508196722,63942
Smith,NJ,R,244,172,72,0.7049180327868853,69378
Smith,TX,R,188,182,5,0.9680851063829788,61167
Smith,WA,D,234,26,208,0.1111111111111111,74182
Smucker,PA,R,240,230,10,0.9583333333333334,61594
Soto,FL,D,244,44,200,0.18032786885245902,48318
Spanberger,VA,D,54,0,54,0.0,62563
Spano,FL,R,54,50,3,0.925925925925926,48318
Speier,CA,D,224,36,188,0.16071428571428573,74205
Stanton,AZ,D,54,0,54,0.0,48055
Stauber,MN,R,54,48,6,0.8888888888888888,64675
Stefanik,NY,R,246,190,56,0.7723577235772358,85746
Steil,WI,R,54,51,2,0.9629629629629628,57720
Steube,FL,R,54,54,0,1.0,48318
Stevens,MI,D,54,0,54,0.0,53209
Stewart,UT,R,238,226,11,0.9495798319327732,55550
Stivers,OH,R,232,224,8,0.9655172413793104,57492
Suozzi,NY,D,240,64,176,0.26666666666666666,85746
Swalwell,CA,D,232,44,188,0.1896551724137931,74205
Sánchez,CA,D,234,30,204,0.1282051282051282,74205
Takano,CA,D,242,34,208,0.14049586776859505,74205
Taylor,TX,R,54,51,2,0.9629629629629628,61167
Taylor,VA,R,186,182,3,0.9784946236559141,62563
Tenney,NY,R,192,186,6,0.96875,85746
Thompson,CA,D,240,42,198,0.175,74205
Thompson,MS,D,232,32,200,0.13793103448275862,37948
Thompson,PA,R,246,242,3,0.983739837398374,61594
Thornberry,TX,R,246,238,8,0.967479674796748,61167
Tiberi,OH,R,116,114,1,0.9827586206896552,57492
Timmons,SC,R,54,51,2,0.9629629629629628,45280
Tipton,CO,R,242,230,11,0.9504132231404959,63882
Titus,NV,D,236,27,208,0.11864406779661016,55269
Tlaib,MI,D,54,0,54,0.0,53209
Tonko,NY,D,240,42,198,0.175,85746
Torres,CA,D,242,50,192,0.2066115702479339,74205
Torres Small,NM,D,54,2,52,0.037037037037037035,46954
Trahan,MA,D,54,0,54,0.0,82480
Trone,MD,D,54,0,54,0.0,68573
Trott,MI,R,180,178,2,0.9888888888888889,53209
Tsongas,MA,D,176,33,142,0.19318181818181815,82480
Turner,OH,R,246,236,9,0.959349593495935,57492
Underwood,IL,D,54,0,54,0.0,67268
Upton,MI,R,244,206,38,0.8442622950819673,53209
Valadao,CA,R,188,184,3,0.9787234042553193,74205
Van Drew,NJ,D,52,0,52,0.0,69378
Vargas,CA,D,240,30,210,0.125,74205
Veasey,TX,D,238,42,196,0.17647058823529413,61167
Vela,TX,D,236,44,192,0.1864406779661017,61167
Velázquez,NY,D,238,20,218,0.08403361344537816,85746
Visclosky,IN,D,244,44,200,0.18032786885245902,55172
Wagner,MO,R,240,232,7,0.9666666666666668,51699
Walberg,MI,R,246,242,3,0.983739837398374,53209
Walden,OR,R,246,222,23,0.9024390243902439,56956
Walker,NC,R,230,216,13,0.9391304347826088,54441
Walorski,IN,R,246,234,11,0.9512195121951219,55172
Walters,CA,R,188,186,2,0.9893617021276596,74205
Waltz,FL,R,54,51,2,0.9629629629629628,48318
Walz,MN,D,146,30,116,0.2054794520547945,64675
Wasserman Schultz,FL,D,240,34,206,0.14166666666666666,48318
Waters,CA,D,244,22,222,0.09016393442622951,74205
Watkins,KS,R,54,50,3,0.925925925925926,56334
Watson Coleman,NJ,D,244,16,228,0.06557377049180328,69378
Weber,TX,R,236,222,14,0.940677966101695,61167
Webster,FL,R,234,214,19,0.9145299145299145,48318
Welch,VT,D,242,36,206,0.1487603305785124,53523
Wenstrup,OH,R,242,232,10,0.9586776859504132,57492
Westerman,AR,R,246,232,13,0.9430894308943091,42454
Wexton,VA,D,54,0,54,0.0,62563
Wild,PA,D,60,4,56,0.06666666666666667,61594
Williams,TX,R,244,228,16,0.9344262295081968,61167
Wilson,FL,D,206,26,180,0.1262135922330097,48318
Wilson,SC,R,242,236,5,0.9752066115702479,45280
Wittman,VA,R,242,222,20,0.9173553719008265,62563
Womack,AR,R,246,242,3,0.983739837398374,42454
Woodall,GA,R,246,242,3,0.983739837398374,55832
Wright,TX,R,50,48,2,0.96,61167
Yarmuth,KY,D,240,38,202,0.15833333333333333,46898
Yoder,KS,R,188,174,14,0.925531914893617,56334
Yoho,FL,R,238,222,15,0.9327731092436975,48318
Young,AK,R,242,226,16,0.9338842975206612,73205
Young,IA,R,192,190,2,0.9895833333333334,59977
Zeldin,NY,R,246,218,28,0.8861788617886179,85746
Zinke,MT,R,2,2,0,1.0,46609
